"Player","Team","Experience","Minutes","Pace","PTS","AST","DREB","OREB","BLK","STL","TOV","FGA","FTA","FG3A","RimFGA","PF","date_of_projection"
"Craig Porter","Cleveland Cavaliers",NA,1.8,97.6,0.6,0.2,0.1,0,0,0.1,0.1,0.6,0.1,0.3,0.1,0.2,2023-11-02
"Chuma Okeke","Orlando Magic","Vet",1.8,98.3,0.5,0.1,0.3,0.1,0,0.1,0.1,0.5,0.1,0.3,0.1,0.1,2023-11-02
"Jaden Springer","Philadelphia 76ers","Sophomore",1.4,98.6,0.5,0.1,0.1,0.1,0,0.1,0.1,0.5,0.1,0.1,0.2,0.2,2023-11-02
"Amari Bailey","Charlotte Hornets",NA,1.5,98.1,0.5,0.1,0.1,0.1,0,0.1,0.1,0.5,0.1,0.2,0.1,0.2,2023-11-02
"Andre Jackson Jr.","Milwaukee Bucks",NA,1.5,98,0.5,0.1,0.2,0.1,0,0,0.1,0.4,0.1,0.2,0.1,0.2,2023-11-02
"Jordan Miller","Los Angeles Clippers",NA,1.6,98,0.5,0.1,0.2,0.1,0,0.1,0.1,0.5,0.1,0.2,0.1,0.2,2023-11-02
"Ausar Thompson","Detroit Pistons",NA,1.5,97.9,0.5,0.1,0.2,0.1,0,0,0.1,0.4,0.1,0.2,0.2,0.2,2023-11-02
"Julian Phillips","Chicago Bulls",NA,1.5,97.8,0.5,0.1,0.2,0.1,0,0,0.1,0.4,0.1,0.2,0.2,0.2,2023-11-02
"Kobe Brown","Los Angeles Clippers",NA,1.4,98,0.5,0.1,0.2,0.1,0,0,0.1,0.4,0.1,0.2,0.1,0.2,2023-11-02
"Saben Lee","Phoenix Suns","Vet",1.1,99.4,0.4,0.2,0.1,0,0,0.1,0.1,0.4,0.2,0.1,0.1,0.1,2023-11-02
"Nick Smith Jr.","Charlotte Hornets",NA,1.3,98.1,0.4,0.1,0.1,0,0,0,0.1,0.4,0.1,0.2,0.1,0.1,2023-11-02
