PLAYER,RANK,GP,MIN,FG%,FT%,PTS,3PM,REB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA,A$
"Daniel Theis
IndC",266,,15.3,0.521,0.638,6.1,0.5,3.5,0.9,0.3,0.5,0.7,2.4,4.7,0.8,1.2,
"Tomas Satoransky
WshPG",267,,18.6,0.438,0.786,4.9,0.4,2.3,3.8,0.6,0.1,1.1,1.8,4.2,0.9,1.1,
"John Konchar
MemSG",268,,25.1,0.459,0.695,6.4,1,5.6,1.8,1.2,0.4,0.6,2.4,5.3,0.6,0.8,
"Shake Milton
MinPG",269,,23.4,0.505,0.876,9.9,0.8,2.8,3.6,0.4,0.2,1.4,3.8,7.5,1.5,1.7,
"Doug McDermott
SASF",270,,22,0.474,0.767,11,1.9,2.4,1.4,0.2,0.1,0.9,4.1,8.7,0.8,1.1,
"Maxi Kleber
DalPF",271,,24.9,0.429,0.714,6.4,1.2,4.6,1.3,0.4,0.9,0.8,2.2,5.1,0.8,1.1,
"Gary Harris
OrlSG",272,,25.3,0.435,0.873,9.1,1.8,1.9,1.5,0.9,0.2,0.7,3.2,7.3,1,1.1,
"Joe Harris
DetSG",273,,24.8,0.5,0.773,11,2.4,2.9,1.4,0.5,0.2,0.7,4,8.1,0.5,0.7,
"Cory Joseph
GSPG",274,,21.8,0.439,0.83,7.4,1,2.1,3.5,0.6,0.2,1.1,2.6,6,1.2,1.4,
"Jeremiah Robinson-Earl
OKCPF",275,,22.7,0.432,0.8,7.9,1.1,5.3,1.1,0.6,0.3,0.6,2.9,6.8,1,1.2,
"Dwight Powell
DalC",276,,23.9,0.695,0.718,8.8,0.1,5.3,1.2,0.7,0.5,1,3.3,4.8,2,2.8,
"Saben Lee
PhxPG",277,,15.7,0.413,0.745,5.8,0.4,2,3,0.8,0.2,1,1.9,4.7,1.6,2.1,
"Taurean Prince
LALSF",278,,17.9,0.453,0.824,7.5,1.2,2.3,1.2,0.5,0.3,1,2.7,5.9,1,1.2,
"Ziaire Williams
MemSG",279,,14.7,0.433,0.775,5.5,0.7,1.9,0.9,0.4,0.1,0.8,2.2,5,0.5,0.6,
"Cedi Osman
SASF",280,,21.4,0.434,0.692,9.5,1.6,2.4,1.8,0.6,0.1,0.9,3.4,7.8,1.1,1.6,
"Terrence Ross
PhxSG",281,,22.6,0.417,0.854,9.6,1.5,2.6,1.7,0.6,0.2,0.9,3.5,8.5,1.1,1.3,
"Landry Shamet
WshSG",282,,20.9,0.389,0.854,8.6,1.9,1.8,1.9,0.5,0.1,0.8,2.8,7.3,1,1.2,
"Moritz Wagner
OrlC",283,,17.8,0.495,0.83,9.7,0.9,4.1,1.4,0.5,0.2,1.1,3.3,6.6,2.2,2.7,
"Malachi Flynn
TorPG",284,,14.6,0.384,0.7,5.2,0.8,1.8,2,0.6,0.1,0.5,2,5.1,0.5,0.7,
"Elfrid Payton
PhxPG",285,,15.9,0.415,0.578,5.8,0.2,2.4,2.5,0.6,0.1,1.2,2.5,6,0.6,1,
"Willy Hernangomez
NOC",286,,13.8,0.528,0.776,7.9,0.1,5.4,1,0.5,0.4,1.2,2.7,5.1,2.4,3.1,
"Nickeil Alexander-Walker
MinSG",287,,18.3,0.406,0.707,8.2,1.3,2.3,2.1,0.7,0.4,1.2,3,7.4,0.9,1.3,
"Malaki Branham
SASG",288,,27.4,0.441,0.831,11.9,1.4,3.2,2.2,0.6,0.1,1.3,4.8,10.8,1,1.2,
"Damion Lee
PhxSF",289,,20.1,0.444,0.896,7.7,1.3,3.1,1.2,0.5,0.1,0.9,2.6,5.9,1.2,1.3,
"DeAndre Jordan
DenC",290,,15.7,0.73,0.491,5.3,0,5.7,0.9,0.3,0.7,1.1,2.3,3.2,0.6,1.2,
"David Nwaba
OKCSG",291,,15.5,0.484,0.706,6.1,0.4,3.4,0.8,0.7,0.5,0.5,2.3,4.7,1.2,1.7,
"Thaddeus Young
TorPF",292,,16.9,0.54,0.6,6.3,0.2,3.9,2.1,1,0.3,1.1,2.8,5.2,0.5,0.8,
"Georges Niang
ClePF",293,,19.9,0.441,0.891,8.3,1.9,2.5,1.1,0.4,0.2,0.7,2.9,6.6,0.5,0.6,
"JaMychal Green
GSPF",294,,15.5,0.506,0.824,6.7,0.7,4,0.9,0.5,0.4,0.9,2.5,4.9,1,1.2,
"Josh Jackson
TorSF",295,,19.6,0.411,0.716,9.1,0.9,3.3,1.5,0.6,0.6,1.4,3.3,8,1.7,2.3,
"Terence Davis
SacSG",296,,14.7,0.423,0.813,7.6,1.5,2.4,1.1,0.7,0.2,0.9,2.8,6.5,0.7,0.8,
